
Moreover David and the captains of the host separated to the service of the sons of Asaph, and of Heman, and of Jeduthun, who should prophesy with harps, with psalteries, and with cymbals: and the number of the workmen according to their service was:
Of the sons of Asaph; Zaccur, and Joseph, and Nethaniah, and Asarelah, the sons of Asaph under the hands of Asaph, which prophesied according to the order of the king.
Of Jeduthun: the sons of Jeduthun; Gedaliah, and Zeri, and Jeshaiah, Hashabiah, and Mattithiah, six, under the hands of their father Jeduthun, who prophesied with a harp, to give thanks and to praise the .
Of Heman: the sons of Heman; Bukkiah, Mattaniah, Uzziel, Shebuel, and Jerimoth, Hananiah, Hanani, Eliathah, Giddalti, and Romamti-ezer, Joshbekashah, Mallothi, Hothir,  Mahazioth:
All these  the sons of Heman the kingâs seer in the words of God, to lift up the horn. And God gave to Heman fourteen sons and three daughters.
All these  under the hands of their father for song  the house of the , with cymbals, psalteries, and harps, for the service of the house of God, according to the kingâs order to Asaph, Jeduthun, and Heman.
So the number of them, with their brethren that were instructed in the songs of the ,  all that were cunning, was two hundred fourscore and eight.
And they cast lots, ward against  as well the small as the great, the teacher as the scholar.
Now the first lot came forth for Asaph to Joseph: the second to Gedaliah, who with his brethren and sons  twelve:
The third to Zaccur,  his sons, and his brethren,  twelve:
The fourth to Izri,  his sons, and his brethren,  twelve:
The fifth to Nethaniah,  his sons, and his brethren,  twelve:
The sixth to Bukkiah,  his sons, and his brethren,  twelve:
The seventh to Jesharelah,  his sons, and his brethren,  twelve:
The eighth to Jeshaiah,  his sons, and his brethren,  twelve:
The ninth to Mattaniah,  his sons, and his brethren,  twelve:
The tenth to Shimei,  his sons, and his brethren,  twelve:
The eleventh to Azareel,  his sons, and his brethren,  twelve:
The twelfth to Hashabiah,  his sons, and his brethren,  twelve:
The thirteenth to Shubael,  his sons, and his brethren,  twelve:

The fourteenth to Mattithiah,  his sons, and his brethren,  twelve:
The fifteenth to Jeremoth,  his sons, and his brethren,  twelve:
The sixteenth to Hananiah,  his sons, and his brethren,  twelve:
The seventeenth to Joshbekashah,  his sons, and his brethren,  twelve:
The eighteenth to Hanani,  his sons, and his brethren,  twelve:
The nineteenth to Mallothi,  his sons, and his brethren,  twelve:
The twentieth to Eliathah,  his sons, and his brethren,  twelve:
The one and twentieth to Hothir,  his sons, and his brethren,  twelve:
The two and twentieth to Giddalti,  his sons, and his brethren,  twelve:
The three and twentieth to Mahazioth,  his sons, and his brethren,  twelve:
The four and twentieth to Romamti-ezer,  his sons, and his brethren,  twelve.
